name	season
『続・終物語』&『<物語> シリーズ』セレクション	2019年春
Re:ゼロから始める異世界生活 2ndシーズン	2020年夏
凹凸世界	2019年春
キラッとプリ☆チャン シーズン2	2019年春
ゲゲゲの鬼太郎 第6シリーズ 地獄の四将編	2019年春
魔入りました！入間くん	2019年秋
プリンセスコネクト！Re:Dive	2020年春
ラディアン 第2シリーズ	2019年秋
異常生物見聞録	2020年夏
グランベルム	2019年夏
ソウナンですか？	2019年夏
グレイプニル	2020年春
継つぐもも	2020年春
PSYCHO-PASS サイコパス 3	2019年秋
叛逆性ミリオンアーサー 第2シーズン	2019年春
本好きの下剋上 司書になるためには手段を選んでいられません	2019年秋
GRANBLUE FANTASY The Animation Season2	2019年秋
アニマルズ：シーズン2	2017年冬
アニマルズ：シーズン1	2016年冬
うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。	2019年夏
可愛ければ変態でも好きになってくれますか？	2019年夏
洗い屋さん！～俺とアイツが女湯で！？～	2019年春
爆丸バトルプラネット	2019年春
恋する小惑星	2020年冬
進撃の巨人 Season 3 Part.2	2019年春
BEASTARS	2019年秋
BEM	2019年夏
小林さんちのメイドラゴンS	2021年夏
旗揚！けものみち	2019年秋
邪神ちゃんドロップキック’	2020年春
まちカドまぞく	2019年夏
彼方のアストラ	2019年夏
かつて神だった獣たちへ	2019年夏
インフィニット・デンドログラム	2020年冬
Fairy gone フェアリーゴーン	2019年春
Bラッパーズ ストリート	2019年春
ダンベル何キロ持てる？	2019年夏
虚構推理	2020年冬
アルティメット・スパイダーマン（シーズン2）	2013年春
アルティメット・スパイダーマン（シーズン1）	2012年夏
からかい上手の高木さん2	2019年夏
ロード・エルメロイII世の事件簿 -魔眼蒐集列車 Grace note-	2019年夏
コップクラフト	2019年夏
胡蝶綺 ～若き信長～	2019年夏
理系が恋に落ちたので証明してみた。	2020年冬
探偵オペラ ミルキィホームズ サイコの挨拶	2018年秋
パパだって、したい	2019年冬
魔術士オーフェンはぐれ旅	2020年冬
はたらく細胞 特別編「風邪症候群」	2018年秋
PERSONA5 the Animation 特番アニメーション前編「Dark Sun…」	2018年秋
八男って、それはないでしょう！	2020年春
うまよん	2020年夏
白猫プロジェクト ZERO CHRONICLE	2020年春
EX-ARM エクスアーム	2021年冬
BAKUMATSUクライシス	2019年春
ハイキュー!! TO THE TOP 第1クール	2020年冬
ジモトがジャパン	2019年春
スター☆トゥインクルプリキュア	2019年冬
世話やきキツネの仙狐さん	2019年春
みだらな青ちゃんは勉強ができない	2019年春
痛いのは嫌なので防御力に極振りしたいと思います。	2020年冬
戦姫絶唱シンフォギアXV	2019年夏
ノブナガ先生の幼な妻	2019年春
川柳少女	2019年春
荒ぶる季節の乙女どもよ。	2019年夏
八十亀ちゃんかんさつにっき	2019年春
Dr.STONE	2019年夏
RobiHachi	2019年春
フルーツバスケット 1st Season	2019年春
炎炎ノ消防隊	2019年夏
ちはやふる3	2019年秋
ドロヘドロ	2020年冬
みにとじ	2019年冬
ツキウタ。THE ANIMATION2	2020年秋
慎重勇者 ～この勇者が俺TUEEEくせに慎重すぎる～	2019年秋
歌舞伎町シャーロック	2019年秋
ダーウィンズゲーム	2020年冬
手品先輩	2019年夏
女子高生の無駄づかい	2019年夏
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…	2020年春
アサシンズプライド	2019年秋
雨色ココア sideG	2019年冬
魔王様、リトライ！	2019年夏
通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？	2019年夏
デート・ア・ライブIII	2019年冬
エガオノダイカ	2019年冬
シキザクラ	2021年秋
俺を好きなのはお前だけかよ	2019年秋
Dimension ハイスクール	2019年冬
とある科学の超電磁砲T	2020年冬
とある科学の一方通行	2019年夏
ゆるキャン△ ショートアニメ「へやキャン△」	2020年冬
ゆるキャン△ SEASON2	2021年冬
なんでここに先生が!?	2019年春
この世の果てで恋を唄う少女 YU-NO	2019年春
僕のヒーローアカデミア (第4期)	2019年秋
終電後､カプセルホテルで､上司に微熱伝わる夜｡	2018年秋
イナズマイレブン オリオンの刻印	2018年秋
戦え!超ロボット生命体トランスフォーマー	1985年夏
ご注文はうさぎですか？BLOOM	2020年秋
ぼくたちは勉強ができない	2019年春
超可動ガール1/6	2019年春
放課後さいころ倶楽部	2019年秋
女子かう生	2019年春
スタンドマイヒーローズ PIECE OF TRUTH	2019年秋
ぼくのとなりに暗黒破壊神がいます。	2020年冬
荒野のコトブキ飛行隊	2019年冬
走り続けてよかったって。	2018年秋
けものフレンズ2	2019年冬
マギアレコード 魔法少女まどか☆マギカ外伝	2020年冬
バミューダトライアングル ～カラフル・パストラーレ～	2019年冬
アイドルマスター SideM 理由あってMini!	2018年秋
グリムノーツ The Animation	2019年冬
盾の勇者の成り上がり	2019年冬
なむあみだ仏っ！-蓮台 UTENA-	2019年春
サークレット・プリンセス	2019年冬
明治東亰恋伽	2019年冬
狐狸之声	2018年秋
